canton,energyreporter_date,electric_car_share,electric_car_share_last_change,solar_potential_usage,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_share_coverage,renewable_heating_share_last_change
TI,2022-01-31,0.014536,2021-12-31,0.039721,2021-11-09,0.271084,0.998807,2022-01-21
TI,2022-02-28,0.014901,2022-01-31,0.039721,2021-11-09,0.271084,0.998807,2022-01-21
TI,2022-03-31,0.015343,2022-02-28,0.039893,2021-12-28,0.271697,0.998807,2022-03-24
UR,2021-03-31,0.005665,2021-02-28,0.021381,2020-11-23,0.525249,0.890261,2021-03-05
UR,2021-04-30,0.006402,2021-03-31,0.021381,2020-11-23,0.525172,0.890779,2021-04-07
UR,2021-05-31,0.006706,2021-04-30,0.024842,2021-02-22,0.525659,0.89087,2021-04-27
UR,2021-06-30,0.007039,2021-05-31,0.027111,2021-04-21,0.526724,0.80015,2021-05-31
UR,2021-07-31,0.007596,2021-06-30,0.027722,2021-06-10,0.52825,0.800329,2021-07-16
UR,2021-08-31,0.007845,2021-07-31,0.027722,2021-06-10,0.528324,0.997578,2021-07-27
UR,2021-09-30,0.008203,2021-08-31,0.028169,2021-06-14,0.540734,0.800418,2021-08-04
UR,2021-10-31,0.00902,2021-09-30,0.029085,2021-07-01,0.541899,0.80103,2021-10-22
UR,2021-11-30,0.009272,2021-10-31,0.029625,2021-08-10,0.542552,0.801193,2021-11-19
UR,2021-12-31,0.009965,2021-11-30,0.031486,2021-10-21,0.545401,0.802251,2021-12-22
UR,2022-01-31,0.010998,2021-12-31,0.031486,2021-10-21,0.548154,0.802533,2022-01-18
UR,2022-02-28,0.011281,2022-01-31,0.031486,2021-10-21,0.548154,0.802533,2022-01-18
UR,2022-03-31,0.011559,2022-02-28,0.032682,2021-11-17,0.549165,0.802443,2022-03-25
VD,2021-03-31,0.010074,2021-02-28,0.046763,2020-11-23,0.200846,0.976596,2021-03-16
VD,2021-04-30,0.012055,2021-03-31,0.046763,2020-11-23,0.199083,0.976617,2021-03-30
VD,2021-05-31,0.012383,2021-04-30,0.052572,2021-02-11,0.199924,0.97666,2021-04-29
VD,2021-06-30,0.01274,2021-05-31,0.053675,2021-05-10,0.200595,0.976692,2021-06-07
VD,2021-07-31,0.013538,2021-06-30,0.054415,2021-06-10,0.201304,0.976947,2021-07-22
VD,2021-08-31,0.013902,2021-07-31,0.054378,2021-06-10,0.201583,0.999141,2021-07-27
VD,2021-09-30,0.014365,2021-08-31,0.0553,2021-07-14,0.203051,0.976993,2021-09-09
VD,2021-10-31,0.015309,2021-09-30,0.056848,2021-08-19,0.204084,0.977035,2021-10-20
VD,2021-11-30,0.015772,2021-10-31,0.057747,2021-08-27,0.202234,0.996875,2021-11-08
VD,2021-12-31,0.016686,2021-11-30,0.059,2021-10-27,0.205441,0.997039,2021-12-21
VD,2022-01-31,0.018013,2021-12-31,0.059006,2021-10-27,0.20585,0.997039,2022-01-19
VD,2022-02-28,0.018444,2022-01-31,0.059006,2021-10-27,0.20585,0.997039,2022-01-19
VD,2022-03-31,0.018987,2022-02-28,0.060229,2021-12-07,0.213655,0.997027,2022-03-02
VS,2021-03-31,0.007136,2021-02-28,0.033213,2020-11-10,0.308076,0.949876,2021-03-18
VS,2021-04-30,0.008992,2021-03-31,0.033213,2020-11-10,0.309,0.949628,2021-04-06
VS,2021-05-31,0.009306,2021-04-30,0.037486,2021-04-08,0.309261,0.949525,2021-04-30
VS,2021-06-30,0.009656,2021-05-31,0.038241,2021-05-28,0.310015,0.9459,2021-06-10
VS,2021-07-31,0.010407,2021-06-30,0.039226,2021-06-01,0.31473,0.931044,2021-07-27
VS,2021-08-31,0.010609,2021-07-31,0.039225,2021-06-01,0.318477,0.997163,2021-07-27
VS,2021-09-30,0.010971,2021-08-31,0.03982,2021-07-15,0.316845,0.912665,2021-09-14
VS,2021-10-31,0.011722,2021-09-30,0.041103,2021-09-01,0.316999,0.910855,2021-10-27
VS,2021-11-30,0.012164,2021-10-31,0.041623,2021-09-17,0.31846,0.916641,2021-11-26
VS,2021-12-31,0.013006,2021-11-30,0.042767,2021-10-18,0.315142,0.911289,2021-12-23
VS,2022-01-31,0.01405,2021-12-31,0.042789,2021-10-18,0.316939,0.912213,2022-01-21
VS,2022-02-28,0.014469,2022-01-31,0.042789,2021-10-18,0.316939,0.912213,2022-01-21
VS,2022-03-31,0.014981,2022-02-28,0.043947,2021-12-21,0.323211,0.908959,2022-03-25
ZG,2021-03-31,0.019057,2021-01-31,0.052683,2020-12-04,0.279012,0.973272,2021-03-19
ZG,2021-04-30,0.023033,2021-03-31,0.052683,2020-12-04,0.282221,0.973284,2021-04-01
ZG,2021-05-31,0.023919,2021-04-30,0.063252,2021-03-05,0.282542,0.973942,2021-04-23
ZG,2021-06-30,0.024491,2021-05-31,0.064114,2021-04-30,0.282803,0.974267,2021-06-10
ZG,2021-07-31,0.025927,2021-06-30,0.064606,2021-05-27,0.28298,0.974933,2021-07-08
ZG,2021-08-31,0.026459,2021-07-31,0.064606,2021-05-27,0.283296,0.996971,2021-07-08
ZG,2021-09-30,0.02737,2021-08-31,0.065243,2021-06-17,0.284145,0.975386,2021-09-10
ZG,2021-10-31,0.029251,2021-09-30,0.066196,2021-07-28,0.287947,0.975594,2021-10-22
ZG,2021-11-30,0.029926,2021-10-31,0.067033,2021-07-29,0.292339,0.992346,2021-11-25
ZG,2021-12-31,0.031491,2021-11-30,0.068757,2021-10-29,0.295725,0.993294,2021-12-23
ZG,2022-01-31,0.033695,2021-12-31,0.068757,2021-10-29,0.297251,0.993294,2022-01-20
ZG,2022-02-28,0.034642,2022-01-31,0.068757,2021-10-29,0.297251,0.993294,2022-01-20
ZG,2022-03-31,0.035403,2022-02-28,0.070371,2021-11-02,0.304174,0.993405,2022-03-25
ZH,2021-03-31,0.013663,2021-02-28,0.030254,2020-11-30,0.289959,0.901052,2021-03-08
ZH,2021-04-30,0.01598,2021-03-31,0.030254,2020-11-30,0.290166,0.901135,2021-04-06
ZH,2021-05-31,0.016414,2021-04-30,0.037122,2021-03-19,0.291224,0.901353,2021-04-30
ZH,2021-06-30,0.016802,2021-05-31,0.038244,2021-05-25,0.292224,0.902046,2021-06-10
ZH,2021-07-31,0.017532,2021-06-30,0.039172,2021-07-03,0.294115,0.902162,2021-07-26
ZH,2021-08-31,0.017847,2021-07-31,0.039172,2021-07-03,0.294384,0.997796,2021-07-27
ZH,2021-09-30,0.018442,2021-08-31,0.039933,2021-08-14,0.295528,0.902414,2021-09-09
ZH,2021-10-31,0.019371,2021-09-30,0.041058,2021-09-15,0.296909,0.902668,2021-10-27
ZH,2021-11-30,0.020013,2021-10-31,0.041921,2021-09-16,0.298445,0.960107,2021-11-26
ZH,2021-12-31,0.020968,2021-11-30,0.043571,2021-11-16,0.299801,0.959904,2021-12-24
ZH,2022-01-31,0.022341,2021-12-31,0.042887,2021-11-16,0.300926,0.959944,2022-01-21
ZH,2022-02-28,0.022932,2022-01-31,0.042887,2021-11-16,0.300926,0.959944,2022-01-21
ZH,2022-03-31,0.023556,2022-02-28,0.044388,2021-12-23,0.303663,0.959982,2022-03-25
